Header,Bifidobacterium_adolescentis_ATCC_15703,Bifidobacterium_adolescentis_ATCC_15703,Bifidobacterium_bifidum_PRL2010,Bifidobacterium_bifidum_PRL2010,Bifidobacterium_longum_NCC2705,Bifidobacterium_longum_NCC2705,Collinsella_tanakaei_YIT_12063,Collinsella_tanakaei_YIT_12063,Alistipes_finegoldii_DSM_17242,Alistipes_finegoldii_DSM_17242,Alistipes_putredinis_DSM_17216,Alistipes_putredinis_DSM_17216,Alistipes_shahii_WAL_8301,Alistipes_shahii_WAL_8301,Bacteroides_caccae_ATCC_43185,Bacteroides_caccae_ATCC_43185,Bacteroides_coprocola_M16_DSM_17136,Bacteroides_coprocola_M16_DSM_17136,Bacteroides_eggerthii_DSM_20697,Bacteroides_eggerthii_DSM_20697,Bacteroides_fragilis_NCTC_9343,Bacteroides_fragilis_NCTC_9343,Bacteroides_intestinalis_341_DSM_17393,Bacteroides_intestinalis_341_DSM_17393,Bacteroides_stercoris_ATCC_43183,Bacteroides_stercoris_ATCC_43183,Bacteroides_thetaiotaomicron_VPI_5482,Bacteroides_thetaiotaomicron_VPI_5482,Bacteroides_uniformis_ATCC_8492,Bacteroides_uniformis_ATCC_8492,Parabacteroides_distasonis_ATCC_8503,Parabacteroides_distasonis_ATCC_8503,Parabacteroides_johnsonii_DSM_18315,Parabacteroides_johnsonii_DSM_18315,Prevotella_ruminicola_23,Prevotella_ruminicola_23,Acidaminococcus_fermentans_DSM_20731,Acidaminococcus_fermentans_DSM_20731,Blautia_wexlerae_DSM_19850,Blautia_wexlerae_DSM_19850,Clostridium_clostridioforme_CM201,Clostridium_clostridioforme_CM201,Coprococcus_catus_GD_7,Coprococcus_catus_GD_7,Dialister_invisus_DSM_15470,Dialister_invisus_DSM_15470,Dorea_longicatena_DSM_13814,Dorea_longicatena_DSM_13814,Enterococcus_faecium_TX1330,Enterococcus_faecium_TX1330,Eubacterium_rectale_M104_1,Eubacterium_rectale_M104_1,Faecalibacterium_prausnitzii_L2_6,Faecalibacterium_prausnitzii_L2_6,Lactobacillus_mucosae_LM1,Lactobacillus_mucosae_LM1,Lactobacillus_reuteri_SD2112_ATCC_55730,Lactobacillus_reuteri_SD2112_ATCC_55730,Megasphaera_elsdenii_DSM_20460,Megasphaera_elsdenii_DSM_20460,Phascolarctobacterium_succinatutens_YIT_12067,Phascolarctobacterium_succinatutens_YIT_12067,Pseudoflavonifractor_capillosus_strain_ATCC_29799,Pseudoflavonifractor_capillosus_strain_ATCC_29799,Roseburia_intestinalis_L1_82,Roseburia_intestinalis_L1_82,Roseburia_inulinivorans_DSM_16841,Roseburia_inulinivorans_DSM_16841,Ruminococcus_bromii_L2_63,Ruminococcus_bromii_L2_63,Ruminococcus_callidus_ATCC_2776001,Ruminococcus_callidus_ATCC_2776001,Ruminococcus_torques_ATCC_27756,Ruminococcus_torques_ATCC_27756,Streptococcus_salivarius_JIM8777,Streptococcus_salivarius_JIM8777,Subdoligranulum_variabile_DSM_15176,Subdoligranulum_variabile_DSM_15176,Veillonella_atypica_ACS_049_V_Sch6,Veillonella_atypica_ACS_049_V_Sch6,Bilophila_wadsworthia_3_1_6,Bilophila_wadsworthia_3_1_6,Citrobacter_amalonaticus_Y19,Citrobacter_amalonaticus_Y19,Desulfovibrio_desulfuricans_subsp_desulfuricans_DSM_642,Desulfovibrio_desulfuricans_subsp_desulfuricans_DSM_642,Desulfovibrio_piger_ATCC_29098,Desulfovibrio_piger_ATCC_29098,Enterobacter_cloacae_EcWSU1,Enterobacter_cloacae_EcWSU1,Escherichia_coli_str_K_12_substr_MG1655,Escherichia_coli_str_K_12_substr_MG1655,Haemophilus_parainfluenzae_T3T1,Haemophilus_parainfluenzae_T3T1,Helicobacter_pylori_26695,Helicobacter_pylori_26695,Klebsiella_pneumoniae_pneumoniae_MGH78578,Klebsiella_pneumoniae_pneumoniae_MGH78578,Shigella_flexneri_2002017,Shigella_flexneri_2002017,Akkermansia_muciniphila_ATCC_BAA_835,Akkermansia_muciniphila_ATCC_BAA_835,Fusobacterium_varium_ATCC_27725,Fusobacterium_varium_ATCC_27725
177,3HAD8M10,12,G3PATAI17,13,3OAS10M12,13,3OAR12M14,12,ASPCT,12,EAR6M8x,12,DASYNI17,12,3OAS4M3O6,12,3HAD15M16,12,RZ5PP,11,AIHPDCOATA,12,3HAD7M8,11,3OAS4M3O6,11,3OAS9M10,12,ASPCT,12,IVCOATA,12,NACtex,12,3OAR12M14,12,3HAD11M12,12,3OAR15M16,13,IVCOATA,12,3HAD7M8,12,ACOAAGPATI17,12,3OAR15M16,12,3OAS4M3O6,11,DASYNAI17,12,EAR6M8x,12,3OAR9M10,12,DAPDC,11,ATPPRT,12,3HAD8M10,12,3OAR4M6,12,3OAR10M12,11,3OAS13M14,11,Kt1r,11,DASYNAI17,12,OIVD3,12,IVCOATA,12,PGSAAI17,12,3OAR10M12,12,3OAR9M10,12,RBFSb,13,PRMICI,12,3OAR4M6,11,LYS_Ltex,12,ACODAr,11,DASYNI17,12,EAR6M8x,11,3OAR5M6,12,3HAD8M10,12,G3PATAI17,12,3OAS13M14,12
178,3HAD7M8,12,3OAS5M6,13,3OAR7M8,13,3OAR9M10,12,3OAS11M12,12,EAR9M10x,12,3OAS10M12,12,PGPPI17,12,3HAD4M6,12,3HAD11M12,11,ADOCBLS,12,CLPNSI17,11,PGPPI17,11,ADOCBLS,12,CLPNSI17,11,PSSA180,12,NAPRT,12,3OAR13M14,12,3HAD12M14,12,3HAD4M6,13,CLPNSAI17,12,3OAR14M16,12,EAR9M10x,12,ARGSL,12,3OAS4M6,11,CBIAT,12,DASYNAI17,12,3OAR7M8,12,3OAS8M10,11,3OAS4M6,12,3OAR15M16,12,3OAR8M10,12,3OAR12M14,11,GTPCII,11,PGSAI17,11,PGPPAI17,12,CLPNSI17,12,3HAD8M10,12,PGPPI17,12,3OAR11M12,12,G3PD1,12,GTPCII,13,3OAS3M4,12,3OAR8M10,11,DASYN180,12,IHPDCOATA,11,3OAS12M14,12,3OAR11M12,11,3OAR4M6,12,3HAD9M10,12,DASYN180,12,3OAS3M4,12
179,RZ5PP,12,AGPR,13,NNDMBRT,13,3OAR8M10,12,EAR9M10x,12,PSSAI17,12,AMPTASEGC,12,CBIAT,12,3HAD5M6,12,3HAD12M14,11,ADK2,12,NACtex,11,3OAS3M4,11,AIHPDCOATA,12,ACOAAGPATAI17,11,3HAD14M16,12,OIVD1r,12,3OAR14M16,12,3HAD13M14,12,LYS_Ltex,13,DASYNI17,12,3OAR9M10,12,IPPMIa,12,3OAS8M10,12,3OAS5M6,11,G3PATAI17,12,3OAS5M6,12,3OAS4M6,12,AMPTASEGC,11,26DAPLLAT,12,3OAS4M6,12,3OAR10M12,12,3OAR11M12,11,PSDI17,11,NNDMBRT,11,DASYN180,12,3HAD12M14,12,3HAD9M10,12,CLPNSI17,12,3OAR12M14,12,3OAS4M6,12,PRAIS,13,2MBCOATA,12,3OAS4M3O6,11,PANTS,12,PGSAI17,11,3HAD6M8,12,DASYNI17,11,3OAR15M16,12,GTPCII,12,IHPDCOATA,12,3OAS4M3O6,12
180,AIHPDCOATA,12,CLPNSI17,13,ACOAAGPATI17,13,3OAS3M4,12,ADK2,12,RZ5PP,12,ACBIPGT,12,CLPNS180,12,3HAD6M8,12,3HAD13M14,11,ACOAAGPATI17,12,PGPPI17,11,DASYN180,11,CLPNS180,12,ACOAAGPATI17,11,PSSAI17,12,OIVD3,12,3OAR15M16,12,3HAD14M16,12,KAS14,13,PGSAI17,12,3OAR13M14,12,PSSA180,12,3HAD15M16,12,3OAS6M8,11,G3PATI17,12,DASYN180,12,DASYNAI17,12,2MBCOATA,11,3OAS7M8,12,3OAR14M16,12,3OAR9M10,12,3OAR15M16,11,ADOCBLS,11,3HAD15M16,11,CLPNSI17,12,3HAD11M12,12,3OAS4M3O6,12,CLPNSAI17,12,2MBCOATA,12,3OAS5M6,12,MTHFD,13,NACtex,12,3OAS3M4,11,OIVD3,12,IVCOATA,11,3OAR12M14,12,OIVD1r,11,3OAR14M16,12,3HAD14M16,12,PSSAI17,12,3OAS9M10,12
181,DASYNI17,12,PGPPAI17,13,EAR6M8x,13,3OAS9M10,12,ADOCBLS,12,ADK2,12,3OAR8M10,12,CLPNSAI17,12,3HAD7M8,12,PSSAI17,11,ACOAAGPATAI17,12,PGSAAI17,11,DASYNI17,11,PSSAAI17,12,CYTK1,11,3HAD15M16,12,ADK2,12,3OAR4M6,12,3HAD15M16,12,3OAR14M16,13,3OAR4M6,12,PSSAAI17,12,ADK2,12,3OAS7M8,12,CLPNS180,11,3HAD4M6,12,CLPNSI17,12,2MBCOATA,12,Htex,11,3OAS5M6,12,3OAR13M14,12,3OAS10M12,12,PGSAAI17,11,AMPTASECG,11,DAPDC,11,AIHPDCOATA,12,DASYNI17,12,3OAS3M4,12,CLPNS180,12,ATPPRT,12,3OAS12M14,12,EAR11M12x,13,PGSAAI17,12,3OAR5M6,11,DASYNI17,12,ACGS,11,3OAS3M4,12,ACBIPGT,11,3OAR13M14,12,3HAD15M16,12,EAR6M8x,12,NAPRT,12
182,3OAS10M12,12,H2CO3D,13,G3PATAI17,13,3OAR13M14,12,AIHPDCOATA,12,ACOAAGPATAI17,12,3OAR7M8,12,CLPNSI17,12,3HAD8M10,12,3HAD14M16,11,3OAS9M10,12,3HAD6M8,11,3OAS13M14,11,CLPNSAI17,12,CLPNSAI17,11,DASYN180,12,ACOAAGPATI17,12,3OAR5M6,12,3HAD4M6,12,3OAR13M14,13,PGSAAI17,12,3HAD4M6,12,PSDI17,12,3OAS6M8,12,AIHPDCOATA,11,3HAD5M6,12,3OAS9M10,12,DASYNI17,12,3OAS7M8,11,3OAS3M4,12,ACOAAGPATI17,12,3OAR13M14,12,3OAR4M6,11,ADK2,11,RZ5PP,11,CLPNSAI17,12,3HAD10M12,12,3OAS13M14,12,3OAS8M10,12,PGSAAI17,12,3OAR12M14,12,LYS_Ltex,13,DASYN180,12,3OAR6M8,11,3OAR9M10,12,NNDMBRT,11,CBIAT,12,CLPNSAI17,11,PGSAI17,12,3HAD4M6,12,CLPNSI17,12,PSD180,12
183,PGPPAI17,12,PRFGS,13,G3PATI17,13,3OAR6M8,12,CLPNS180,12,3HAD10M12,12,3OAR6M8,12,PGSAAI17,12,3HAD9M10,12,PSSAAI17,11,PGPPI17,12,IHPDCOATA,11,PGMT,11,3OAS8M10,12,3HAD11M12,11,DASYNAI17,12,PSSAI17,12,3OAR6M8,12,3HAD5M6,12,H2CO3D,13,PGPPAI17,12,3OAR12M14,12,PSDAI17,12,3OAS5M6,12,3HAD9M10,11,3HAD6M8,12,ACBIPGT,12,3HAD10M12,12,3HAD10M12,11,2MBCOATA,12,3OAR12M14,12,3OAS11M12,12,PGSAI17,11,PSSA180,11,PSSAAI17,11,3OAR7M8,12,2MBCOATA,12,3OAS12M14,12,3HAD5M6,12,3HAD13M14,12,3OAR15M16,12,EAR9M10x,13,PGSAI17,12,3OAS11M12,11,IVCOATA,12,OIVD1r,11,NAPRT,12,3OAR12M14,11,PGSAAI17,12,3HAD5M6,12,ACBIPGT,12,3OAS7M8,12
184,PGPPI17,12,3OAR4M6,13,3OAR9M10,13,3OAR14M16,12,DHORTS,12,ACBIPGT,12,3OAR5M6,12,DASYN180,12,3OAR10M12,12,PSSA180,11,3OAS8M10,12,EAR5M6x,11,3OAS12M14,11,CLPNSI17,12,3OAS10M12,11,3HAD13M14,12,PSSAAI17,12,3OAR7M8,12,3HAD6M8,12,3OAR12M14,13,PSD180,12,3HAD5M6,12,PSD180,12,2MBCOATA,12,ADOCBLS,11,3HAD15M16,12,ACOAAGPATAI17,12,DASYN180,12,3OAS6M8,11,3HAD15M16,12,3OAR11M12,12,3OAS12M14,12,3OAR5M6,11,DAPDC,11,PSSA180,11,EAR6M8x,12,DASYNAI17,12,CBIAT,12,3HAD4M6,12,PGSAI17,12,GHMT2r,12,ATPPRT,12,Htex,12,Kt1r,11,3OAS13M14,12,OIVD3,11,3OAS4M3O6,12,3OAR13M14,11,ACBIPGT,12,3HAD12M14,12,DASYNAI17,12,3OAR13M14,12
185,3OAS8M10,12,PRAIS,13,IHPDCOATA,13,3OAR5M6,12,CLPNSAI17,12,2MBCOATA,12,3OAR4M6,12,DASYNAI17,12,3OAR11M12,12,PRMICI,11,3OAS7M8,12,3OAR11M12,11,CLPNSI17,11,IMPC,12,3HAD12M14,11,ACBIPGT,12,PSSA180,12,3OAR8M10,12,3HAD7M8,12,3HAD9M10,13,OIVD3,12,3OAR11M12,12,PGSAI17,12,3OAS4M6,12,ADK2,11,3HAD14M16,12,ACOAAGPATI17,12,ACBIPGT,12,3OAS10M12,11,3HAD14M16,12,3OAS4M3O6,12,3OAS13M14,12,PSD180,11,IVCOATA,11,OIVD1r,11,PSSAI17,12,DASYN180,12,3OAS11M12,12,3HAD15M16,12,3HAD15M16,12,CLPNS180,12,3OAR8M10,12,MCOATA,12,3OAS10M12,11,NNDMBRT,12,PGPPAI17,11,3OAR4M6,12,3OAR4M6,11,3OAS6M8,12,PSSAI17,12,3OAS8M10,12,3OAR7M8,12
186,3OAS6M8,12,PRAGS,13,ACOAAGPATAI17,13,3OAR7M8,12,CLPNSI17,12,G3PATAI17,12,3OAS7M8,12,EAR6M8x,12,3OAR12M14,12,PSDI17,11,3OAS6M8,12,3OAR7M8,11,G5SADs,11,DASYN180,12,3OAS11M12,11,ACOAAGPATAI17,12,PGPPAI17,12,3OAR9M10,12,3HAD8M10,12,3OAR11M12,13,Htex,12,3OAR10M12,12,ADOCBLS,12,3OAS4M3O6,12,ACOAAGPATI17,11,CLPNS180,12,ADK2,12,3OAS9M10,12,MCOATA,11,IGPDH,12,3OAR10M12,12,PMDPHT,12,3OAS9M10,11,Htex,11,PSD180,11,3OAR9M10,12,CLPNSAI17,12,3OAS10M12,12,3HAD14M16,12,RZ5PP,12,3OAR6M8,12,3OAS6M8,12,DHORTS,12,THRS,11,OIVD1r,12,PGPPI17,11,CLPNSAI17,12,3OAR5M6,11,3OAS10M12,12,OROTPT,12,IVCOATA,12,3OAR14M16,12
187,ACOAAGPATI17,12,PSDI17,13,3OAR8M10,13,MCOATA,12,DASYN180,12,3OAS11M12,12,ARGSS,12,3OAS4M6,12,3OAR13M14,12,EAR6M8x,11,RBFSb,12,PSDI17,11,3HAD10M12,11,3OAS7M8,12,3OAS8M10,11,ACOAAGPATI17,12,PGPPI17,12,3OAS10M12,12,3HAD9M10,12,3OAR10M12,13,PSDAI17,12,3HAD9M10,12,AIHPDCOATA,12,3OAS3M4,12,ACOAAGPATAI17,11,IHPDCOATA,12,CLPNS180,12,EAR6M8x,12,3HAD11M12,11,3HAD12M14,12,3HAD7M8,12,3OAS4M3O6,12,3HAD9M10,11,CBIAT,11,PSSAI17,11,IHPDCOATA,12,G3PATAI17,12,PRAI,12,3HAD13M14,12,ACGK,12,3HAD7M8,12,3OAS5M6,12,3OAS4M3O6,12,3OAS5M6,11,DHPPDA,12,PGSAAI17,11,3OAR14M16,12,3OAR6M8,11,3OAS8M10,12,ADK10,12,OIVD3,12,ACOAAGPATAI17,12
188,PGSAAI17,12,PSD180,13,PRAI,13,PSDI17,12,DASYNI17,12,3OAS12M14,12,3OAS8M10,12,G3PATAI17,12,3OAR15M16,12,PSDAI17,11,3OAS5M6,12,3OAS10M12,11,IVCOATA,11,DASYNAI17,12,3HAD13M14,11,3OAS7M8,12,PSDI17,12,3OAS11M12,12,CBIAT,12,3HAD8M10,13,OIVD1r,12,3HAD6M8,12,3OAS12M14,12,3OAS12M14,12,ACBIPGT,11,3HAD7M8,12,ADOCBLS,12,3OAS8M10,12,3HAD5M6,11,AMPTASEGC,12,3OAS3M4,12,3OAS4M6,12,OIVD3,11,DPR,11,ACOAAGPATAI17,11,RZ5PP,12,ACBIPGT,12,DASYN180,12,3HAD12M14,12,PRATPP,12,EAR6M8x,12,PANTS,12,3OAS4M6,12,EAR6M8x,11,3OAS12M14,12,PSSAAI17,11,3OAS4M6,12,3OAR7M8,11,PSSAAI17,12,IHPDCOATA,12,RZ5PP,12,3OAR15M16,12
189,3OAS5M6,12,PSDAI17,13,OIVD3,13,CLPNSAI17,12,EAR6M8x,12,PSSAAI17,12,3OAS9M10,12,G3PATI17,12,3OAS6M8,12,PSD180,11,3OAS4M6,12,RNTR3,11,P5CRyr,11,3OAR11M12,12,3HAD10M12,11,3OAS6M8,12,EAR6M8x,12,3OAS12M14,12,3OAR11M12,12,3HAD5M6,13,DASYN180,12,PSSAI17,12,CBIAT,12,3OAR5M6,12,3OAS9M10,11,3HAD8M10,12,OIVD1r,12,3OAS7M8,12,3HAD12M14,11,HSTPTr,12,3OAR7M8,12,3OAS5M6,12,2MBCOATA,11,PSSAAI17,11,IHPDCOATA,11,3HAD8M10,12,CLPNS180,12,3HAD7M8,12,3HAD11M12,12,G3PD1,12,G3PATAI17,12,HSTPTr,12,RZ5PP,12,OIVD3,11,G3PATI17,12,PSD180,11,3OAR13M14,12,3OAR8M10,11,PSSAI17,12,3OAS3M4,12,PSSAAI17,12,3OAR4M6,12
190,PGSAI17,12,OIVD1r,13,3OAS3M4,13,3OAS6M8,12,PGSAAI17,12,3OAS13M14,12,PSDI17,12,IHPDCOATA,12,3OAS3M4,12,Htex,11,3OAS4M3O6,12,PSSA180,11,OIVD1r,11,3OAS6M8,12,3HAD14M16,11,3OAS5M6,12,PGSAAI17,12,3OAS5M6,12,3OAR12M14,12,EAR8M10x,13,CLPNSI17,12,3OAS10M12,12,3OAS11M12,12,ARGSS,12,RNTR1,11,3HAD13M14,12,OIVD3,12,ACOAAGPATI17,12,26DAPLLAT,11,3HAD13M14,12,3OAS10M12,12,3OAS6M8,12,3HAD10M12,11,PMDPHT,11,CLPNSI17,11,ACBIPGT,12,CBIAT,12,IG3PS,12,3HAD10M12,12,PRAMPC,12,G3PATI17,12,HISTP,12,3OAS5M6,12,OIVD1r,11,3OAS3M4,12,PSDAI17,11,CLPNSI17,12,3OAR9M10,11,RZ5PP,12,3OAS4M3O6,12,CBIAT,12,PSSA180,12
191,3OAS4M6,12,EAR12M14x,13,3HAD15M16,13,DASYNI17,12,PSSAI17,12,3OAS3M4,12,3HAD14M16,12,IVCOATA,12,DASYN180,12,PRATPP,11,DASYN180,12,PSSAAI17,11,3OAS11M12,11,PHETA1,12,3HAD15M16,11,ADOCBLS,12,3OAS4M3O6,12,3HAD13M14,12,3OAR13M14,12,3HAD6M8,13,NAPRT,12,DPR,12,CLPNS180,12,3OAS11M12,12,CLPNSAI17,11,3HAD9M10,12,3OAR15M16,12,3OAS6M8,12,3OAS5M6,11,3OAS6M8,12,ADK2,12,3OAS7M8,12,3HAD11M12,11,G3PATI17,11,ACBIPGT,11,3OAS5M6,12,AIHPDCOATA,12,3HAD14M16,12,2MBCOATA,12,3HAD4M6,12,IHPDCOATA,12,3OAR7M8,12,3OAS6M8,12,NNDMBRT,11,3OAS4M3O6,12,Htex,11,DASYN180,12,3OAS10M12,11,3OAS12M14,12,3OAS4M6,12,3OAR8M10,12,3OAR6M8,12
192,PSD180,12,MTHFD,13,3HAD5M6,13,3OAS7M8,12,3HAD6M8,12,3OAS4M3O6,12,3OAR13M14,12,NNDMBRT,12,AIHPDCOATA,12,PGSAI17,11,3OAS12M14,12,HETT,11,RNTR3,11,PSSAI17,12,3OAR14M16,11,ASPCT,12,3OAR9M10,12,3HAD12M14,12,3OAR14M16,12,3OAR9M10,13,3HAD5M6,12,G3PATAI17,12,3OAS10M12,12,3OAS10M12,12,3OAS13M14,11,3OAR10M12,12,PGSAI17,12,3OAS5M6,12,3HAD13M14,11,3OAR12M14,12,IHPDCOATA,12,3OAS8M10,12,3HAD12M14,11,G3PATAI17,11,3OAS9M10,11,PSDI17,12,ACOAAGPATAI17,12,3HAD15M16,12,ACBIPGT,12,3HAD5M6,12,DPR,12,3OAR9M10,12,3OAS7M8,12,IVCOATA,11,3OAS4M6,12,PSSA180,11,3OAS13M14,12,CYTK1,11,MTHFC,12,CLPNS180,12,PSSA180,12,3OAR8M10,12
193,OIVD3,12,EAR8M10x,13,PGSAAI17,13,DASYNAI17,12,3HAD10M12,12,3OAS4M6,12,3HAD7M8,12,PGPPAI17,12,CBIAT,12,ARGSL,11,3OAS11M12,12,PSSAI17,11,3OAS10M12,11,DHPPDA,12,AIHPDCOATA,11,3OAS4M6,12,IGPDH,12,PSSA180,12,3OAR15M16,12,3OAR7M8,13,CLPNS180,12,3OAS7M8,12,CLPNSAI17,12,3OAR9M10,12,3OAS12M14,11,3OAR11M12,12,3OAR4M6,12,RZ5PP,12,3OAS11M12,11,3OAS13M14,12,G3PATAI17,12,ATPPRT,12,3HAD13M14,11,AIHPDCOATA,11,ADOCBLS,11,3OAS8M10,12,ACOAAGPATI17,12,NNDMBRT,12,DHORTS,12,3HAD6M8,12,PRFGS,12,FBA,12,3OAS8M10,12,IHPDCOATA,11,3OAS5M6,12,PSSAI17,11,DASYNAI17,12,3OAS11M12,11,NAPRT,12,3OAS5M6,12,3OAS7M8,12,PGSAI17,12
194,OIVD1r,12,MCOATA,13,PSSAI17,13,DASYN180,12,3OAR6M8,12,3OAS5M6,12,3OAS3M4,12,OIVD1r,12,CLPNS180,12,ARGSS,11,26DAPLLAT,12,RZ5PP,11,OIVD3,11,3OAS12M14,12,ADOCBLS,11,3OAS4M3O6,12,AMPTASECG,12,EAR6M8x,12,3OAR4M6,12,3HAD7M8,13,FBA,12,3OAS8M10,12,PGSAAI17,12,3OAR8M10,12,3OAS11M12,11,AMPTASEGC,12,3OAR5M6,12,PSSAAI17,12,3OAS4M6,11,3OAR5M6,12,G3PATI17,12,3OAS9M10,12,3HAD14M16,11,3OAS12M14,11,AIHPDCOATA,11,G3PATI17,12,ADOCBLS,12,PGPPAI17,12,ACOAAGPATAI17,12,Htex,12,IVCOATA,12,3OAS4M6,12,3OAS9M10,12,G3PATI17,11,3OAS6M8,12,G3PATI17,11,3OAS5M6,12,3OAS12M14,11,ASP1DC,12,3OAS6M8,12,3OAS6M8,12,3OAR9M10,12
195,3OAS4M3O6,12,KAS14,13,PGSAI17,13,CLPNSI17,12,3OAR5M6,12,3OAS6M8,12,3HAD8M10,12,AIHPDCOATA,12,CLPNSAI17,12,CYTK1,11,3OAS13M14,12,3OAS5M6,11,RNTR1,11,3HAD15M16,12,3HAD4M6,11,AIHPDCOATA,12,IG3PS,12,DASYNI17,12,3OAR5M6,12,EAR140x,13,3OAR15M16,12,2MBCOATA,12,3OAR9M10,12,3OAR7M8,12,3OAR10M12,11,3HAD12M14,12,3OAR6M8,12,3OAS4M3O6,12,UTPATPT,11,3OAR14M16,12,PSDI17,12,ACBIPGT,12,RZ5PP,11,RZ5PP,11,CBIAT,11,ASPCT,12,EAR6M8x,12,APRAUR,12,ACOAAGPATI17,12,ACOTA,12,3HAD12M14,12,3OAS10M12,12,ACBIPGT,12,G3PATAI17,11,G3PATAI17,12,3HAD9M10,11,3OAS6M8,12,FBA,11,MCOATA,12,3OAS7M8,12,CLPNS180,12,PGPPAI17,12
196,PSDAI17,12,RZ5PP,13,3HAD4M6,13,CLPNS180,12,PRATPP,12,3OAS7M8,12,CLPNSAI17,12,ADOCBLS,12,OIVD3,12,PGPPI17,11,EAR6M8x,12,3OAR9M10,11,NNDMBRT,11,PGSAI17,12,3OAS12M14,11,DHORTS,12,3OAS3M4,12,DASYNAI17,12,3OAR6M8,12,3HAD12M14,13,3OAR14M16,12,3OAS9M10,12,3OAR8M10,12,3OAR6M8,12,3OAR11M12,11,CLPNSAI17,12,3OAR7M8,12,3OAS3M4,12,NACtex,11,3OAR11M12,12,PSDAI17,12,DPR,12,PSSAI17,11,3OAS9M10,11,CLPNS180,11,PSDAI17,12,G3PATI17,12,G3PATAI17,12,ADK2,12,PSSAI17,12,PRAIS,12,3OAS4M3O6,12,ACOAAGPATAI17,12,DASYNI17,11,EAR6M8x,12,3HAD12M14,11,3HAD7M8,12,3OAS13M14,11,3OAS3M4,12,3OAS8M10,12,3OAR9M10,12,PGPPI17,12
197,PSSAI17,12,3OAR14M16,13,2MBCOATA,13,PSDAI17,12,AMPTASECG,12,3OAS8M10,12,CLPNSI17,12,ADK2,12,CLPNSI17,12,PGPPAI17,11,PSSAAI17,12,3OAR8M10,11,CLPNSAI17,11,NNDMBRT,12,DAPDC,11,NACtex,12,HISTP,12,DASYN180,12,3OAR7M8,12,3OAS3M4,13,3OAR13M14,12,ACBIPGT,12,PSSAI17,12,PGPPI17,12,DASYN180,11,RZ5PP,12,PSDI17,12,3OAS13M14,12,ACBIPGT,11,3OAR15M16,12,PSD180,12,DHPPDA,12,PSSAAI17,11,CHORM,11,3OAS8M10,11,G3PATAI17,12,3HAD9M10,12,3OAR13M14,12,ARGSL,12,PRMICI,12,PRAGS,12,3OAS11M12,12,3HAD11M12,12,3OAS6M8,11,3OAS7M8,12,3OAS12M14,11,3HAD5M6,12,3OAS3M4,11,3OAS11M12,12,ASP1DC,12,2MBCOATA,12,RZ5PP,12
198,3OAS3M4,12,PSSAI17,13,PSD180,13,CBIAT,12,PRAMPC,12,3OAS9M10,12,IHPDCOATA,12,ACOAAGPATI17,12,DASYNI17,12,PRAMPC,11,PRAMPC,12,PGSAI17,11,CBIAT,11,GLUPRT,12,3OAR9M10,11,3OAS3M4,12,ATPPRT,12,CLPNSI17,12,AIHPDCOATA,12,3OAS4M3O6,13,3OAR12M14,12,DASYNI17,12,3OAS6M8,12,RZ5PP,12,3OAR12M14,11,3HAD11M12,12,PSDAI17,12,Htex,12,3OAS12M14,11,3OAR10M12,12,PGSAI17,12,3OAR15M16,12,3HAD15M16,11,3HAD8M10,11,3OAS7M8,11,PSSA180,12,PSSAAI17,12,RBFSa,12,ARGSS,12,OIVD1r,12,3HAD14M16,12,3OAS12M14,12,3OAR15M16,12,DASYNAI17,11,3OAS11M12,12,3OAS11M12,11,3HAD12M14,12,CLPNS180,11,Htex,12,3OAS9M10,12,DASYNI17,12,PGSAAI17,12
199,TKT1,12,PSSAAI17,13,PSSAAI17,13,3OAS8M10,12,3HAD13M14,12,P5CRyr,12,PRAMPC,12,3OAS5M6,12,ADOCBLS,12,OIVD3,11,3OAR10M12,12,G3PATAI17,11,G3PATI17,11,2MBCOATA,12,2MBCOATA,11,3OAS13M14,12,3HAD9M10,12,CLPNSAI17,12,OIVD1r,12,ADK10,13,3OAR11M12,12,DASYNAI17,12,3OAR13M14,12,HSTPTr,12,3OAR13M14,11,AIHPDCOATA,12,3OAR8M10,12,3OAS12M14,12,3OAS13M14,11,3HAD9M10,12,IVCOATA,12,CLPNSAI17,12,3HAD4M6,11,3HAD7M8,11,CLPNSAI17,11,PSD180,12,3HAD8M10,12,IGPDH,12,ASPCT,12,PSSA180,12,3HAD11M12,12,Htex,12,3HAD12M14,12,ADOCBLS,11,3OAS10M12,12,3HAD13M14,11,ADK2,12,3OAS4M3O6,11,PSDI17,12,G3PATI17,12,PRAMPC,12,3OAS10M12,12
